,global_transitivity,avelocal_transmissivity,fraction_clusters_size_2,fraction_clusters_size_3,fraction_clusters_size_5,fraction_giant_component,average_path_length,hamming_distance,corrected_hamming_distance,threshold,edge_density
1953-03-01 14:17:30,0.7230219992280973,0.6405789875947572,0.0011942675159235668,0.0007961783439490446,0.0007961783439490446,0.08957006369426751,4.2404862930793685,0.0,0.0,0.99,0.003335007495681422
1953-04-01 14:17:30,0.6950633361652591,0.6601186641320099,0.0003980891719745223,0.0,0.0003980891719745223,0.11226114649681529,4.621000978330367,0.0029738577012736315,0.001909432890187633,0.99,0.0043994323067674205
1953-05-01 14:17:30,0.6871610678360125,0.6744352830084491,0.0007961783439490446,0.0,0.0007961783439490446,0.11664012738853503,4.60668158912177,0.004467603690259673,0.003454228147742291,0.99,0.0054128078492848035
1953-06-01 14:17:30,0.7297737898282275,0.704653898358427,0.0011942675159235668,0.0,0.0003980891719745223,0.16321656050955413,6.637712245485287,0.005226684118540841,0.003835353742894322,0.99,0.006804138224931321
1953-07-01 14:17:30,0.7788585933215931,0.7332685403484537,0.0023885350318471337,0.0003980891719745223,0.0003980891719745223,0.1178343949044586,3.9689977445538402,0.006183303020848394,0.00357281464739858,0.99,0.009414626598381135
1953-08-01 14:17:30,0.8171083334431929,0.7444140797968899,0.0011942675159235668,0.0007961783439490446,0.0003980891719745223,0.16679936305732485,5.326255331682466,0.007389460894357819,0.0032075428623610253,0.99,0.013596544630377929
1953-09-01 14:17:30,0.8171111186371796,0.7354975467110829,0.0023885350318471337,0.0007961783439490446,0.0,0.21178343949044587,5.6476761619190405,0.009512920221090895,0.0070650919394156155,0.99,0.01604437291205321
1953-10-01 14:17:30,0.8079112321040829,0.726263433004697,0.002786624203821656,0.0003980891719745223,0.0,0.22253184713375795,6.329186778862823,0.011004129600458618,0.00946028557151083,0.99,0.014500528883105419
1953-11-01 14:17:30,0.8151831382114235,0.7152190979003856,0.0,0.0,0.0,0.21019108280254778,7.982826215735904,0.009676214465270009,0.007541340395254511,0.99,0.01236565481308992
1953-12-01 14:17:30,0.8096051769859575,0.6988951144295662,0.0,0.0,0.0003980891719745223,0.4231687898089172,17.086930755169426,0.007386924284739503,0.0049463887557168835,0.99,0.009925119284067302
1954-01-01 14:17:30,0.7416204043154918,0.6755279110678755,0.0,0.0,0.0,0.42436305732484075,15.64431191354789,0.006024130767299044,0.004303358217473689,0.99,0.008204346734241946
1954-02-01 14:17:30,0.705767894077456,0.6415300994770261,0.0,0.0,0.0,0.669984076433121,20.77509899867825,0.005514906386422036,0.0049597059562130445,0.99,0.007649146304032955
1954-03-01 14:17:30,0.6567495522318625,0.6069112919140763,0.0,0.0003980891719745223,0.0,0.34753184713375795,9.439609461740295,0.006030472291344834,0.005472101099112948,0.99,0.008207517496264843
1954-04-01 14:17:30,0.661154027993416,0.6072836382833586,0.0003980891719745223,0.0007961783439490446,0.0003980891719745223,0.6859076433121019,18.70895143101266,0.007329850568327385,0.006449329954569321,0.99,0.009088038110022905
1954-05-01 14:17:30,0.6658090251206623,0.6074588598886426,0.0011942675159235668,0.0,0.0,0.9339171974522293,26.132429344138682,0.007655804904281036,0.007586999368384205,0.99,0.009156843645919737
1954-06-01 14:17:30,0.6756274997685053,0.6100861980871475,0.0003980891719745223,0.0,0.0,0.9574044585987261,23.968375108417483,0.006891334180560946,0.006532403919569182,0.99,0.008797913384927972
1954-07-01 14:17:30,0.6617277725087866,0.5972113196776851,0.0003980891719745223,0.0,0.0,0.9510350318471338,25.96227226817274,0.006181717639836947,0.0056249318286165076,0.99,0.008241127573707534
1954-08-01 14:17:30,0.6540829969607374,0.5824361991258312,0.0003980891719745223,0.0003980891719745223,0.0,0.6827229299363057,16.894770413312557,0.005598297427624186,0.005167073792510407,0.99,0.007809903938593754
1954-09-01 14:17:30,0.6424708918251792,0.5715560412555912,0.0019904458598726115,0.0003980891719745223,0.0,0.8857484076433121,24.4551928297559,0.005479076775563318,0.005083365675105967,0.99,0.007414192838136403
